code,x,y,z,cluster
SE3073,-5.137603,-0.5476036,-1.9154797,9
SE2350,1.0974655,2.3718987,-1.3915257,49
S32205,-1.6165409,-6.525079,0.15408373,57
SS33239,-1.3841934,-2.5985012,0.24010992,36
S31826,9.330313,2.5030107,-6.172804,0
S33249,8.802551,1.8760777,-6.358531,0
S31137,-0.038365364,-3.3359604,-0.2706499,19
SE2801,-1.1179447,-0.6589694,2.195881,51
S31984,-2.113453,5.397009,0.4377179,7
S31250,9.1768675,2.4890594,-6.2646313,0
S32037,-3.6058712,1.3402357,-0.2820425,53
S31860,1.5304751,0.14510918,2.2700882,2
S31753,-0.34560728,-3.028551,0.54101944,10
S31924,-0.23934507,5.359022,-1.1119461,6
S31837,-2.5090427,5.5854187,0.5594125,7
S32228,-0.36203718,5.3931856,-1.3195066,6
S32391,-0.4508686,5.412565,-1.3335829,6
S31873,-0.29202938,5.279436,-1.0566101,6
S32632,-1.7946901,-1.3803849,1.653409,60
S31385,8.509293,2.19279,-5.8680153,0
S35630,1.0448742,-1.1017628,-1.3940225,16
S32039,0.9675565,-0.34608603,3.1210337,4
SS32943,-0.5838585,-3.235527,0.9509926,10
S33291,-1.8503561,-6.2387447,0.4946494,14
S32203,-1.1056466,-5.541027,-0.17534304,33
E31496,-0.35080528,5.4578695,-1.3064055,6
S31910,0.8693161,3.6119423,0.29226112,20
S31217,-0.22494411,-3.2824097,-0.10357952,19
S32000,-0.31051064,5.6569576,-1.4823198,6
S32697,0.23880386,4.047575,-0.25725222,20
S32846,-0.5688205,4.129938,-0.28951454,20
E33211,-0.76016045,-2.1233273,0.7012253,29
S31680,-2.6691113,-0.25788212,0.6877527,37
E32638,0.97460556,3.5443077,0.26809216,20
S32218,9.193434,2.1725817,-6.5151567,0
S32494,-4.117649,0.061750412,-0.041149616,26
S31676,-0.062303543,4.0441036,0.032102585,20
S32758,0.21638107,1.2722564,6.924675,58
ART3325,1.0209932,1.2618923,-2.3983088,61
S32530,9.282724,2.4782953,-6.220192,0
E32377,1.5958915,0.31787777,-0.7650728,43
SE3069,-5.1722584,-0.4546671,-2.0207596,9
S32635,-1.8022475,-1.3763933,1.6559429,60
SS32987,-1.5185118,-4.356616,-0.35785484,22
SS32978,-0.1292429,-5.349798,1.152627,18
S32797,-0.19820118,-2.342762,-0.42846584,19
E32273,-0.13676453,-3.558403,2.6898613,30
E32757,-0.14591074,-3.427988,2.5792837,30
S32591,7.597027,3.5820851,-5.431903,0
S32298,0.36274242,3.7155466,0.20482826,20
S32195,-1.4110589,-3.0846734,0.041644096,38
SS31832,-2.3860073,5.022872,0.122590065,7
S31434,-2.102271,4.8190556,0.22067547,7
S32674,-3.0516186,1.365931,-0.5593853,59
S31869,-3.2391195,-2.1136284,-1.0713997,27
SE2619,-0.2468586,-3.5145054,2.6802216,30
S32718,0.3918085,4.025133,-0.06096077,20
SE2532,-2.461957,-0.3575325,0.97585773,37
S35600,0.9170389,-1.1857877,-1.6855078,16
E32069,-1.5160427,1.2793207,2.3656301,34
S32376,-0.19285679,-5.39225,1.0678349,18
S31839,-2.5333443,5.4150124,0.3722763,7
S32795,-0.15294933,-2.7278852,1.778995,31
S31695,2.4030552,-0.7760515,0.003646851,35
S31990,-0.06580448,-1.5841813,-1.617981,16
S35590,8.482214,1.9723368,-6.0177746,0
ART3329,1.00914,1.1840572,-2.4756298,61
E31577,-5.1744785,-0.45390892,-1.9056644,9
S33057,-1.7720795,-1.3616943,1.6584578,60
E31242,1.0390873,-1.2862816,-1.433878,16
E32059,7.488636,1.3580723,-5.436573,0
SS33025,-0.06546688,-3.4921627,-0.2522993,19
S32389,-3.238265,1.2198424,-0.59911156,59
E32432,-0.49865723,3.7723703,-0.7614875,20
E31503,8.27243,2.0638561,-5.8943834,0
S33242,0.14755917,-1.4306488,-1.9419289,16
S31641,0.27398586,1.340817,0.075149536,3
S32160,-0.21525288,-2.2609348,-0.21176863,19
S32677,-0.33084154,-3.090569,0.67115974,10
S31798,0.9374132,-1.2269955,0.2893219,41
E32751,-4.9105396,0.0802145,-1.6923065,9
E32571,-4.7411003,0.48404026,-1.5555115,9
E31448,-1.897119,-0.9539046,0.06089139,32
S31795,-1.9158893,1.05864,3.006895,39
S31930,8.798038,2.1123824,-6.255764,0
S31724,-0.14962673,-2.8704338,-0.41474771,19
SS32981,-3.9559135,0.12153387,-0.05559635,26
S31662,1.3617706,-0.84391975,0.17951012,41
S31525,-1.8528771,5.137126,0.4482479,7
S32755,-2.6739502,-5.3961334,-2.111434,23
S31768,1.143353,-0.17538834,3.026042,4
S32138,-1.7619963,-6.21807,0.27115774,14
S31840,-2.1539106,4.715686,0.36098003,7
S31498,0.93347836,-1.1640444,0.12459183,41
S32512,0.07510519,3.969718,-0.009718418,20
SS33192,-0.5497799,-2.4007835,-0.5955181,19
S32741,-2.4092407,5.062069,0.13791847,7
